id,stratum,source,cluster,title,url,status
A01,A_system_card,Anthropic,Anthropic,Claude Sonnet 5 System Card,https://www-cdn.anthropic.com/9e6a1044980d8c4ed85669faf9c2a8342e2e9f1e/Claude%20Sonnet%205%20System%20Card.pdf,draw
A02,A_system_card,Anthropic,Anthropic,Claude Opus 4.8 System Card,https://cdn.sanity.io/files/4zrzovbb/website/c886650a2e96fc0925c805a1a7ca77314ccbf4a6.pdf,draw
A03,A_system_card,Anthropic,Anthropic,Claude Opus 4.7 System Card,https://cdn.sanity.io/files/4zrzovbb/website/037f06850df7fbe871e206dad004c3db5fd50340.pdf,draw
A04,A_system_card,Anthropic,Anthropic,Claude Sonnet 4.6 System Card,https://www-cdn.anthropic.com/78073f739564e986ff3e28522761a7a0b4484f84.pdf,capped_v15
A05,A_system_card,Anthropic,Anthropic,Claude Opus 4.6 System Card,https://www-cdn.anthropic.com/0dd865075ad3132672ee0ab40b05a53f14cf5288.pdf,capped_v15
A06,A_system_card,Anthropic,Anthropic,Claude Opus 4.5 System Card,https://www.anthropic.com/claude-opus-4-5-system-card,capped
A07,A_system_card,Anthropic,Anthropic,Claude Haiku 4.5 System Card,https://anthropic.com/claude-haiku-4-5-system-card,capped
A08,A_system_card,Anthropic,Anthropic,Claude Sonnet 4.5 System Card,https://anthropic.com/claude-sonnet-4-5-system-card,capped
A09,A_system_card,Anthropic,Anthropic,Claude 4 System Card,https://www-cdn.anthropic.com/6d8a8055020700718b0c49369f60816ba2a7c285.pdf,capped
A10,A_system_card,OpenAI,OpenAI,GPT-5.6 System Card,https://deploymentsafety.openai.com/gpt-5-6,draw
A11,A_system_card,OpenAI,OpenAI,GPT-5.5 System Card,https://openai.com/index/gpt-5-5-system-card/,draw
A12,A_system_card,OpenAI,OpenAI,GPT-5.3-Codex System Card,https://openai.com/index/gpt-5-3-codex-system-card/,draw
A13,A_system_card,OpenAI,OpenAI,Addendum to GPT-5.2 System Card: GPT-5.2-Codex,https://openai.com/index/gpt-5-2-codex-system-card/,capped_v15
A14,A_system_card,Google DeepMind,Google DeepMind,Gemini 3.1 Pro Model Card,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-1-Pro-Model-Card.pdf,draw
A15,A_system_card,Google DeepMind,Google DeepMind,Gemini 3.6 Flash Model Card,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-6-Flash-Model-Card.pdf,draw
A16,A_system_card,Google DeepMind,Google DeepMind,Gemini 3 Pro Model Card,https://deepmind.google/models/model-cards/gemini-3-pro/,draw
A17,A_system_card,Meta,Meta,Muse Spark Safety & Preparedness Report,https://arxiv.org/abs/2606.12429,draw
A18,A_system_card,Meta,Meta,Llama 3.3 Model Card,https://github.com/meta-llama/llama-models/blob/main/models/llama3_3/MODEL_CARD.md,draw
A19,A_system_card,Meta,Meta,Llama 3.1 Model Card,https://github.com/meta-llama/llama-models/blob/main/models/llama3_1/MODEL_CARD.md,draw
B01,B_neurips_dnb,NeurIPS 2025 D&B,B01,Benchmarking Egocentric Multimodal Goal Inference for Assistive Wearable Agents,https://proceedings.neurips.cc/paper_files/paper/2025/hash/23ab960082db936f874b171822e0d097-Abstract-Datasets_and_Benchmarks_Track.html,draw
B02,B_neurips_dnb,NeurIPS 2025 D&B,B02,BountyBench: Dollar Impact of AI Agent Attackers and Defenders on Real-World Cybersecurity Systems,https://proceedings.neurips.cc/paper_files/paper/2025/hash/faed4276b52ef762879db4142655c699-Abstract-Datasets_and_Benchmarks_Track.html,draw
B03,B_neurips_dnb,NeurIPS 2025 D&B,B03,Measuring what Matters: Construct Validity in Large Language Model Benchmarks,https://proceedings.neurips.cc/paper_files/paper/2025/hash/1967e0fc3aa6cbbace562f5cb8e3954e-Abstract-Datasets_and_Benchmarks_Track.html,draw
B04,B_neurips_dnb,NeurIPS 2025 D&B,B04,SMMILE: An expert-driven benchmark for multimodal medical in-context learning,https://proceedings.neurips.cc/paper_files/paper/2025/hash/5e0d42bf1eaafd60c03f141eb7ac761b-Abstract-Datasets_and_Benchmarks_Track.html,draw
B05,B_neurips_dnb,NeurIPS 2025 D&B,B05,Mars-Bench: A Benchmark for Evaluating Foundation Models for Mars Science Tasks,https://proceedings.neurips.cc/paper_files/paper/2025/hash/b21b8e8823034df7de4a8cc2e56891af-Abstract-Datasets_and_Benchmarks_Track.html,draw
